Khu vực,Năm,Số lượng doanh nghiệp thành lập mới
Hà Nội,2019,27711
Hà Nội,2020,26135
Hà Nội,2021,24026
Hà Nội,2022,29720
Hà Nội,2023,31512
Hà Nội,2024,28931
Vĩnh Phúc,2019,1194
Vĩnh Phúc,2020,1249
Vĩnh Phúc,2021,1214
Vĩnh Phúc,2022,1377
Vĩnh Phúc,2023,1689
Vĩnh Phúc,2024,1859
Bắc Ninh,2019,2405
Bắc Ninh,2020,2390
Bắc Ninh,2021,2368
Bắc Ninh,2022,2700
Bắc Ninh,2023,1523
Bắc Ninh,2024,1511
Quảng Ninh,2019,1605
Quảng Ninh,2020,1456
Quảng Ninh,2021,1455
Quảng Ninh,2022,1643
Quảng Ninh,2023,3473
Quảng Ninh,2024,3820
Hải Dương,2019,1695
Hải Dương,2020,1600
Hải Dương,2021,1425
Hải Dương,2022,1579
Hải Dương,2023,1884
Hải Dương,2024,1992
Hải Phòng,2019,2943
Hải Phòng,2020,2867
Hải Phòng,2021,3034
Hải Phòng,2022,3294
Hải Phòng,2023,3523
Hải Phòng,2024,3494
Hưng Yên,2019,1194
Hưng Yên,2020,1153
Hưng Yên,2021,1331
Hưng Yên,2022,1364
Hưng Yên,2023,1594
Hưng Yên,2024,2079
Thái Bình,2019,890
Thái Bình,2020,714
Thái Bình,2021,847
Thái Bình,2022,1130
Thái Bình,2023,1245
Thái Bình,2024,1223
Hà Nam,2019,684
Hà Nam,2020,682
Hà Nam,2021,666
Hà Nam,2022,796
Hà Nam,2023,771
Hà Nam,2024,926
Nam Định,2019,796
Nam Định,2020,794
Nam Định,2021,906
Nam Định,2022,1088
Nam Định,2023,1283
Nam Định,2024,1311
Ninh Bình,2019,725
Ninh Bình,2020,683
Ninh Bình,2021,641
Ninh Bình,2022,781
Ninh Bình,2023,880
Ninh Bình,2024,881
Hà Giang,2019,173
Hà Giang,2020,151
Hà Giang,2021,126
Hà Giang,2022,183
Hà Giang,2023,237
Hà Giang,2024,191
Cao Bằng,2019,167
Cao Bằng,2020,167
Cao Bằng,2021,138
Cao Bằng,2022,174
Cao Bằng,2023,125
Cao Bằng,2024,137
Bắc Kạn,2019,66
Bắc Kạn,2020,64
Bắc Kạn,2021,107
Bắc Kạn,2022,116
Bắc Kạn,2023,122
Bắc Kạn,2024,115
Tuyên Quang,2019,211
Tuyên Quang,2020,235
Tuyên Quang,2021,256
Tuyên Quang,2022,297
Tuyên Quang,2023,267
Tuyên Quang,2024,266
Lào Cai,2019,421
Lào Cai,2020,525
Lào Cai,2021,604
Lào Cai,2022,655
Lào Cai,2023,689
Lào Cai,2024,675
Yên Bái,2019,251
Yên Bái,2020,274
Yên Bái,2021,342
Yên Bái,2022,321
Yên Bái,2023,137
Yên Bái,2024,160
Thái Nguyên,2019,752
Thái Nguyên,2020,732
Thái Nguyên,2021,891
Thái Nguyên,2022,955
Thái Nguyên,2023,138
Thái Nguyên,2024,148
Lạng Sơn,2019,387
Lạng Sơn,2020,409
Lạng Sơn,2021,493
Lạng Sơn,2022,463
Lạng Sơn,2023,277
Lạng Sơn,2024,371
Bắc Giang,2019,1356
Bắc Giang,2020,1332
Bắc Giang,2021,1399
Bắc Giang,2022,1706
Bắc Giang,2023,339
Bắc Giang,2024,333
Phú Thọ,2019,723
Phú Thọ,2020,717
Phú Thọ,2021,793
Phú Thọ,2022,1008
Phú Thọ,2023,395
Phú Thọ,2024,526
Điện Biên,2019,97
Điện Biên,2020,132
Điện Biên,2021,129
Điện Biên,2022,113
Điện Biên,2023,1094
Điện Biên,2024,1079
Lai Châu,2019,144
Lai Châu,2020,131
Lai Châu,2021,128
Lai Châu,2022,194
Lai Châu,2023,726
Lai Châu,2024,1170
Sơn La,2019,269
Sơn La,2020,302
Sơn La,2021,266
Sơn La,2022,257
Sơn La,2023,2308
Sơn La,2024,1990
Hòa Bình,2019,365
Hòa Bình,2020,361
Hòa Bình,2021,455
Hòa Bình,2022,490
Hòa Bình,2023,1026
Hòa Bình,2024,1083
Thanh Hóa,2019,3249
Thanh Hóa,2020,3492
Thanh Hóa,2021,3676
Thanh Hóa,2022,3852
Thanh Hóa,2023,3670
Thanh Hóa,2024,3684
Nghệ An,2019,1779
Nghệ An,2020,1846
Nghệ An,2021,1955
Nghệ An,2022,2143
Nghệ An,2023,2062
Nghệ An,2024,2211
Hà Tĩnh,2019,810
Hà Tĩnh,2020,758
Hà Tĩnh,2021,889
Hà Tĩnh,2022,895
Hà Tĩnh,2023,868
Hà Tĩnh,2024,896
Quảng Bình,2019,604
Quảng Bình,2020,631
Quảng Bình,2021,623
Quảng Bình,2022,706
Quảng Bình,2023,571
Quảng Bình,2024,520
Quảng Trị,2019,381
Quảng Trị,2020,474
Quảng Trị,2021,448
Quảng Trị,2022,492
Quảng Trị,2023,484
Quảng Trị,2024,363
Huế,2019,736
Huế,2020,687
Huế,2021,610
Huế,2022,835
Huế,2023,675
Huế,2024,788
Đà Nẵng,2019,4742
Đà Nẵng,2020,3752
Đà Nẵng,2021,3294
Đà Nẵng,2022,4000
Đà Nẵng,2023,3758
Đà Nẵng,2024,3451
Quảng Nam,2019,1476
Quảng Nam,2020,1276
Quảng Nam,2021,1143
Quảng Nam,2022,1245
Quảng Nam,2023,1145
Quảng Nam,2024,1089
Quảng Ngãi,2019,862
Quảng Ngãi,2020,708
Quảng Ngãi,2021,595
Quảng Ngãi,2022,735
Quảng Ngãi,2023,721
Quảng Ngãi,2024,668
Bình Định,2019,888
Bình Định,2020,1061
Bình Định,2021,969
Bình Định,2022,1238
Bình Định,2023,1090
Bình Định,2024,1150
Phú Yên,2019,459
Phú Yên,2020,519
Phú Yên,2021,394
Phú Yên,2022,561
Phú Yên,2023,502
Phú Yên,2024,463
Khánh Hòa,2019,1900
Khánh Hòa,2020,1825
Khánh Hòa,2021,1219
Khánh Hòa,2022,1982
Khánh Hòa,2023,1913
Khánh Hòa,2024,1854
Ninh Thuận,2019,531
Ninh Thuận,2020,656
Ninh Thuận,2021,383
Ninh Thuận,2022,510
Ninh Thuận,2023,443
Ninh Thuận,2024,454
Bình Thuận,2019,838
Bình Thuận,2020,941
Bình Thuận,2021,644
Bình Thuận,2022,886
Bình Thuận,2023,788
Bình Thuận,2024,730
Kon Tum,2019,286
Kon Tum,2020,370
Kon Tum,2021,302
Kon Tum,2022,336
Kon Tum,2023,291
Kon Tum,2024,303
Gia Lai,2019,645
Gia Lai,2020,1089
Gia Lai,2021,805
Gia Lai,2022,897
Gia Lai,2023,760
Gia Lai,2024,759
Đắk Lắk,2019,1173
Đắk Lắk,2020,1562
Đắk Lắk,2021,1054
Đắk Lắk,2022,1249
Đắk Lắk,2023,1228
Đắk Lắk,2024,1324
Đắk Nông,2019,362
Đắk Nông,2020,505
Đắk Nông,2021,388
Đắk Nông,2022,465
Đắk Nông,2023,381
Đắk Nông,2024,466
Lâm Đồng,2019,1133
Lâm Đồng,2020,1323
Lâm Đồng,2021,1238
Lâm Đồng,2022,1523
Lâm Đồng,2023,1326
Lâm Đồng,2024,1201
Bình Phước,2019,1066
Bình Phước,2020,1257
Bình Phước,2021,1058
Bình Phước,2022,1172
Bình Phước,2023,1065
Bình Phước,2024,1249
Tây Ninh,2019,669
Tây Ninh,2020,736
Tây Ninh,2021,676
Tây Ninh,2022,816
Tây Ninh,2023,831
Tây Ninh,2024,865
Bình Dương,2019,6612
Bình Dương,2020,6557
Bình Dương,2021,5293
Bình Dương,2022,6494
Bình Dương,2023,6792
Bình Dương,2024,8671
Đồng Nai,2019,3817
Đồng Nai,2020,3926
Đồng Nai,2021,3086
Đồng Nai,2022,4203
Đồng Nai,2023,4061
Đồng Nai,2024,4608
Bà Rịa - Vũng Tàu,2019,1740
Bà Rịa - Vũng Tàu,2020,1951
Bà Rịa - Vũng Tàu,2021,1400
Bà Rịa - Vũng Tàu,2022,1933
Bà Rịa - Vũng Tàu,2023,1931
Bà Rịa - Vũng Tàu,2024,1826
TP.Hồ Chí Minh,2019,44769
TP.Hồ Chí Minh,2020,41423
TP.Hồ Chí Minh,2021,32344
TP.Hồ Chí Minh,2022,45425
TP.Hồ Chí Minh,2023,53300
TP.Hồ Chí Minh,2024,48664
Long An,2019,1713
Long An,2020,1638
Long An,2021,1419
Long An,2022,1763
Long An,2023,1994
Long An,2024,2854
Tiền Giang,2019,655
Tiền Giang,2020,750
Tiền Giang,2021,576
Tiền Giang,2022,935
Tiền Giang,2023,889
Tiền Giang,2024,926
Bến Tre,2019,507
Bến Tre,2020,524
Bến Tre,2021,418
Bến Tre,2022,566
Bến Tre,2023,591
Bến Tre,2024,646
Trà Vinh,2019,382
Trà Vinh,2020,491
Trà Vinh,2021,370
Trà Vinh,2022,519
Trà Vinh,2023,550
Trà Vinh,2024,531
Vĩnh Long,2019,360
Vĩnh Long,2020,393
Vĩnh Long,2021,329
Vĩnh Long,2022,438
Vĩnh Long,2023,455
Vĩnh Long,2024,463
Đồng Tháp,2019,523
Đồng Tháp,2020,605
Đồng Tháp,2021,482
Đồng Tháp,2022,738
Đồng Tháp,2023,676
Đồng Tháp,2024,666
An Giang,2019,720
An Giang,2020,858
An Giang,2021,604
An Giang,2022,879
An Giang,2023,931
An Giang,2024,1060
Kiên Giang,2019,1447
Kiên Giang,2020,1479
Kiên Giang,2021,1304
Kiên Giang,2022,1892
Kiên Giang,2023,1566
Kiên Giang,2024,1564
Cần Thơ,2019,1483
Cần Thơ,2020,1564
Cần Thơ,2021,1283
Cần Thơ,2022,1807
Cần Thơ,2023,1706
Cần Thơ,2024,1824
Hậu Giang,2019,366
Hậu Giang,2020,529
Hậu Giang,2021,350
Hậu Giang,2022,562
Hậu Giang,2023,622
Hậu Giang,2024,850
Sóc Trăng,2019,349
Sóc Trăng,2020,514
Sóc Trăng,2021,368
Sóc Trăng,2022,450
Sóc Trăng,2023,394
Sóc Trăng,2024,417
Bạc Liêu,2019,384
Bạc Liêu,2020,421
Bạc Liêu,2021,336
Bạc Liêu,2022,329
Bạc Liêu,2023,390
Bạc Liêu,2024,368
Cà Mau,2019,499
Cà Mau,2020,594
Cà Mau,2021,474
Cà Mau,2022,658
Cà Mau,2023,617
Cà Mau,2024,543
