Ngành kinh tế,Năm,Số lao động có việc làm
"Nông nghiệp, lâm nghiệp và thủy sản",2019,18831
"Nông nghiệp, lâm nghiệp và thủy sản",2020,17725
"Nông nghiệp, lâm nghiệp và thủy sản",2021,14262
"Nông nghiệp, lâm nghiệp và thủy sản",2022,13938
"Nông nghiệp, lâm nghiệp và thủy sản",2023,13815
"Nông nghiệp, lâm nghiệp và thủy sản",2024,13671
Khai khoáng,2019,198
Khai khoáng,2020,174
Khai khoáng,2021,175
Khai khoáng,2022,196
Khai khoáng,2023,171
Khai khoáng,2024,179
"Công nghiệp chế biến, chế tạo",2019,11288
"Công nghiệp chế biến, chế tạo",2020,11302
"Công nghiệp chế biến, chế tạo",2021,11209
"Công nghiệp chế biến, chế tạo",2022,11768
"Công nghiệp chế biến, chế tạo",2023,11957
"Công nghiệp chế biến, chế tạo",2024,12223
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2019,193
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2020,172
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2021,151
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2022,140
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2023,146
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2024,162
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2019,163
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2020,165
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2021,169
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2022,184
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2023,156
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2024,166
Xây dựng,2019,4615
Xây dựng,2020,4695
Xây dựng,2021,4545
Xây dựng,2022,4640
Xây dựng,2023,4745
Xây dựng,2024,4635
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2019,7280
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2020,7291
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2021,7204
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2022,7894
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2023,7766
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2024,7821
"Vận tải, kho bãi",2019,1971
"Vận tải, kho bãi",2020,1968
"Vận tải, kho bãi",2021,1856
"Vận tải, kho bãi",2022,1906
"Vận tải, kho bãi",2023,2022
"Vận tải, kho bãi",2024,2104
Dịch vụ lưu trú và ăn uống,2019,2739
Dịch vụ lưu trú và ăn uống,2020,2738
Dịch vụ lưu trú và ăn uống,2021,2493
Dịch vụ lưu trú và ăn uống,2022,2685
Dịch vụ lưu trú và ăn uống,2023,2926
Dịch vụ lưu trú và ăn uống,2024,3124
Thông tin và truyền thông,2019,347
Thông tin và truyền thông,2020,339
Thông tin và truyền thông,2021,285
Thông tin và truyền thông,2022,313
Thông tin và truyền thông,2023,339
Thông tin và truyền thông,2024,337
"Hoạt động tài chính, ngân hàng và bảo hiểm",2019,483
"Hoạt động tài chính, ngân hàng và bảo hiểm",2020,455
"Hoạt động tài chính, ngân hàng và bảo hiểm",2021,485
"Hoạt động tài chính, ngân hàng và bảo hiểm",2022,490
"Hoạt động tài chính, ngân hàng và bảo hiểm",2023,492
"Hoạt động tài chính, ngân hàng và bảo hiểm",2024,499
Hoạt động kinh doanh bất động sản,2019,303
Hoạt động kinh doanh bất động sản,2020,321
Hoạt động kinh doanh bất động sản,2021,308
Hoạt động kinh doanh bất động sản,2022,366
Hoạt động kinh doanh bất động sản,2023,361
Hoạt động kinh doanh bất động sản,2024,340
"Hoạt động chuyên môn, khoa học và công nghệ",2019,310
"Hoạt động chuyên môn, khoa học và công nghệ",2020,347
"Hoạt động chuyên môn, khoa học và công nghệ",2021,312
"Hoạt động chuyên môn, khoa học và công nghệ",2022,358
"Hoạt động chuyên môn, khoa học và công nghệ",2023,408
"Hoạt động chuyên môn, khoa học và công nghệ",2024,416
Hoạt động hành chính và dịch vụ hỗ trợ,2019,356
Hoạt động hành chính và dịch vụ hỗ trợ,2020,360
Hoạt động hành chính và dịch vụ hỗ trợ,2021,330
Hoạt động hành chính và dịch vụ hỗ trợ,2022,365
Hoạt động hành chính và dịch vụ hỗ trợ,2023,416
Hoạt động hành chính và dịch vụ hỗ trợ,2024,417
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2019,1465
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2020,1446
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2021,1373
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2022,1286
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2023,1289
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2024,1364
Giáo dục và đào tạo,2019,1986
Giáo dục và đào tạo,2020,2007
Giáo dục và đào tạo,2021,1861
Giáo dục và đào tạo,2022,1891
Giáo dục và đào tạo,2023,1976
Giáo dục và đào tạo,2024,2020
Y tế và hoạt động trợ giúp xã hội,2019,612
Y tế và hoạt động trợ giúp xã hội,2020,604
Y tế và hoạt động trợ giúp xã hội,2021,598
Y tế và hoạt động trợ giúp xã hội,2022,598
Y tế và hoạt động trợ giúp xã hội,2023,625
Y tế và hoạt động trợ giúp xã hội,2024,644
"Nghệ thuật, vui chơi và giải trí",2019,272
"Nghệ thuật, vui chơi và giải trí",2020,262
"Nghệ thuật, vui chơi và giải trí",2021,268
"Nghệ thuật, vui chơi và giải trí",2022,281
"Nghệ thuật, vui chơi và giải trí",2023,292
"Nghệ thuật, vui chơi và giải trí",2024,296
Hoạt động dịch vụ khác,2019,1016
Hoạt động dịch vụ khác,2020,1020
Hoạt động dịch vụ khác,2021,1007
Hoạt động dịch vụ khác,2022,1104
Hoạt động dịch vụ khác,2023,1170
Hoạt động dịch vụ khác,2024,1212
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2019,227
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2020,214
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2021,177
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2022,198
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2023,212
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2024,227
