Ngành kinh tế,Năm,Thu nhập bình quân
"Nông nghiệp, lâm nghiệp và thủy sản",2019,4.2
"Nông nghiệp, lâm nghiệp và thủy sản",2020,4.1
"Nông nghiệp, lâm nghiệp và thủy sản",2021,4.2
"Nông nghiệp, lâm nghiệp và thủy sản",2022,4.5
"Nông nghiệp, lâm nghiệp và thủy sản",2023,4.8
"Nông nghiệp, lâm nghiệp và thủy sản",2024,5.1
Khai khoáng,2019,8.9
Khai khoáng,2020,9
Khai khoáng,2021,9.2
Khai khoáng,2022,9.8
Khai khoáng,2023,10.6
Khai khoáng,2024,11.2
"Công nghiệp chế biến, chế tạo",2019,6.9
"Công nghiệp chế biến, chế tạo",2020,6.7
"Công nghiệp chế biến, chế tạo",2021,6.8
"Công nghiệp chế biến, chế tạo",2022,7.3
"Công nghiệp chế biến, chế tạo",2023,7.5
"Công nghiệp chế biến, chế tạo",2024,8.1
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2019,8.7
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2020,8.8
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2021,8.9
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2022,9.6
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2023,10.1
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2024,10.8
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2019,6.7
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2020,6.7
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2021,6.8
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2022,7.4
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2023,7.8
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2024,8.4
Xây dựng,2019,7.2
Xây dựng,2020,7
Xây dựng,2021,7.1
Xây dựng,2022,7.6
Xây dựng,2023,7.9
Xây dựng,2024,8.5
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2019,6.8
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2020,6.6
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2021,6.8
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2022,7.5
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2023,7.8
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2024,8.4
"Vận tải, kho bãi",2019,7.8
"Vận tải, kho bãi",2020,7.2
"Vận tải, kho bãi",2021,7.5
"Vận tải, kho bãi",2022,8.4
"Vận tải, kho bãi",2023,8.8
"Vận tải, kho bãi",2024,9.5
Dịch vụ lưu trú và ăn uống,2019,5.8
Dịch vụ lưu trú và ăn uống,2020,5.1
Dịch vụ lưu trú và ăn uống,2021,5.5
Dịch vụ lưu trú và ăn uống,2022,6.3
Dịch vụ lưu trú và ăn uống,2023,6.8
Dịch vụ lưu trú và ăn uống,2024,7.4
Thông tin và truyền thông,2019,9.7
Thông tin và truyền thông,2020,9.6
Thông tin và truyền thông,2021,9.8
Thông tin và truyền thông,2022,10.7
Thông tin và truyền thông,2023,11.5
Thông tin và truyền thông,2024,12.4
"Hoạt động tài chính, ngân hàng và bảo hiểm",2019,10.1
"Hoạt động tài chính, ngân hàng và bảo hiểm",2020,10.2
"Hoạt động tài chính, ngân hàng và bảo hiểm",2021,10.3
"Hoạt động tài chính, ngân hàng và bảo hiểm",2022,11.1
"Hoạt động tài chính, ngân hàng và bảo hiểm",2023,11.8
"Hoạt động tài chính, ngân hàng và bảo hiểm",2024,12.9
Hoạt động kinh doanh bất động sản,2019,8.8
Hoạt động kinh doanh bất động sản,2020,8.5
Hoạt động kinh doanh bất động sản,2021,9.1
Hoạt động kinh doanh bất động sản,2022,10.2
Hoạt động kinh doanh bất động sản,2023,10.5
Hoạt động kinh doanh bất động sản,2024,11.4
"Hoạt động chuyên môn, khoa học và công nghệ",2019,8.9
"Hoạt động chuyên môn, khoa học và công nghệ",2020,8.8
"Hoạt động chuyên môn, khoa học và công nghệ",2021,9
"Hoạt động chuyên môn, khoa học và công nghệ",2022,9.7
"Hoạt động chuyên môn, khoa học và công nghệ",2023,10.2
"Hoạt động chuyên môn, khoa học và công nghệ",2024,11
Hoạt động hành chính và dịch vụ hỗ trợ,2019,6
Hoạt động hành chính và dịch vụ hỗ trợ,2020,5.9
Hoạt động hành chính và dịch vụ hỗ trợ,2021,6.1
Hoạt động hành chính và dịch vụ hỗ trợ,2022,6.5
Hoạt động hành chính và dịch vụ hỗ trợ,2023,6.9
Hoạt động hành chính và dịch vụ hỗ trợ,2024,7.5
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2019,7.7
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2020,7.8
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2021,7.8
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2022,8.2
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2023,8.6
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2024,9.3
Giáo dục và đào tạo,2019,7.1
Giáo dục và đào tạo,2020,7.1
Giáo dục và đào tạo,2021,7.2
Giáo dục và đào tạo,2022,7.9
Giáo dục và đào tạo,2023,8.3
Giáo dục và đào tạo,2024,9
Y tế và hoạt động trợ giúp xã hội,2019,8
Y tế và hoạt động trợ giúp xã hội,2020,8.2
Y tế và hoạt động trợ giúp xã hội,2021,8.1
Y tế và hoạt động trợ giúp xã hội,2022,8.8
Y tế và hoạt động trợ giúp xã hội,2023,9.1
Y tế và hoạt động trợ giúp xã hội,2024,9.8
"Nghệ thuật, vui chơi và giải trí",2019,6.6
"Nghệ thuật, vui chơi và giải trí",2020,5.9
"Nghệ thuật, vui chơi và giải trí",2021,6.5
"Nghệ thuật, vui chơi và giải trí",2022,7.2
"Nghệ thuật, vui chơi và giải trí",2023,7.6
"Nghệ thuật, vui chơi và giải trí",2024,8.2
Hoạt động dịch vụ khác,2019,5.9
Hoạt động dịch vụ khác,2020,5.5
Hoạt động dịch vụ khác,2021,5.8
Hoạt động dịch vụ khác,2022,6.4
Hoạt động dịch vụ khác,2023,6.9
Hoạt động dịch vụ khác,2024,7.5
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2019,4.8
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2020,4.8
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2021,4.9
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2022,5.2
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2023,5.7
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2024,6.2
